"WDS";"Discov";"Comp";"Firs";"Last";"Obs";"P1";"P2";"Sep.01";"Sep.02";"Mag1";"Mag2";"Spectr";"M1RA";"M1DE";"M2RA";"M2DE";"DurNum";"Not";"Coord2000ArcSec";"Mag1Num";"Mag2Num"
"02169+5703";"STTA 25";"";1875;2010;27;204;205;102.9;102.8;"6.52";"7.41";"B1Iabe";"0";"-2";"0";"-3";"+56  471";"N";"021651.71+570318.9";6.52;7.41
"02197+6002";"STTA 26";"AB";1875;2012;28;200;202;63.5;63.2;"6.95";"7.30";"A2V";"-11";"-9";"-11";"-9";"+59  467";"Z";"021944.49+600146.4";6.95;7.3
"02198-2352";"HJ 2130";"";1909;2010;15;288;288;43.1;41.9;"8.58";"8.88";"K2";"1";"2";"6";"-2";"-24 1021";"NY";"021949.89-235201.1";8.58;8.88
"02228+4124";"BUP  30";"AC";1894;2013;16;7;9;293.9;305.8;"5.83";"7.42";"F0III-IV";"-74";"-98";"1";"-6";"+40  501";"Y";"022250.32+412346.7";5.83;7.42
"02268+1034";"STTA 27";"AB";1875;2015;44;31;32;74;73.6;"6.72";"8.31";"A3";"36";"-13";"37";"-12";"+09  321";"NV";"022645.64+103355.0";6.72;8.31
"02280-3349";"SHY 140";"";1913;2010;6;218;218;391.5;391.1;"5.14";"7.64";"A2V+F7V";"19";"5";"19";"2";"-34  905";"NV";"022801.70-334839.7";5.14;7.64
"02282+5423";"STF 267";"AB";1901;2016;16;25;29;92.9;94;"8.97";"8.95";"K2";"-1";"-2";"43";"-14";"+53  529";"N";"022813.47+542253.9";8.97;8.95
"02291+6724";"STF 262";"AD";1892;2016;10;58;60;209;210.9;"4.63";"8.48";"A5pSr";"-28";"37";"-8";"2";"";"N";"022903.96+672408.7";4.63;8.48
"02321-1515";"GWP 335";"AB";1991;1999;5;253;252;345.3;345.6;"4.79";"8.77";"F4IV";"-73";"-128";"-75";"-118";"-15  449";"NV";"023205.23-151440.6";4.79;8.77
"02358+3441";"AG  304";"";1896;2013;22;18;16;138.4;142.4;"5.57";"6.75";"M3IIIa";"26";"-51";"4";"-16";"+34  469";"N";"023546.82+344115.2";5.57;6.75
"02359+6338";"CTT   3";"";1901;2010;11;88;88;84.3;88.3;"7.78";"8.30";"A5";"-38";"-9";"5";"-4";"+62  421";"N";"023542.84+633805.5";7.78;8.3
"02369+5555";"ARY  72";"AE";1911;2006;12;284;276;139.4;138.6;"7.65";"8.66";"K3.5II-";"2";"-6";"1";"-5";"";"";"023652.80+555455.4";7.65;8.66
"02370+2439";"STFA  5";"AB";1777;2016;72;275;275;41;37.8;"6.50";"7.02";"F5V+F7V";"137";"-15";"151";"-13";"+24  376";"NZ V";"023700.52+243850.0";6.5;7.02
"02377+6520";"ARY  35";"AB,C";1893;2003;12;129;133;113.6;115.4;"8.24";"7.56";"B8";"13";"-5";"-12";"-66";"+64  338";"";"023739.55+652026.0";8.24;7.56
"02387-5257";"SHY 424";"AC";1909;2015;12;74;75;218.7;218.2;"7.92";"6.81";"F1III";"74";"53";"73";"50";"";"NVW";"023844.29-525703.1";7.92;6.81
"02390+6235";"STTA 28";"";1875;2015;23;147;148;67.8;67.8;"6.65";"7.56";"B9";"41";"-24";"34";"-25";"+61  444";"N W";"023858.34+623529.4";6.65;7.56
