"WDS";"Discov";"Comp";"Firs";"Last";"Obs";"P1";"P2";"Sep.01";"Sep.02";"Mag1";"Mag2";"Spectr";"M1RA";"M1DE";"M2RA";"M2DE";"DurNum";"Not";"Coord2000ArcSec";"Mag1Num";"Mag2Num"
"08195+3503";"STTA 91";"AB";1875;2005;26;226;210;92.5;94.8;"7.21";"8.36";"A5";"-55";"-5";"88";"-139";"+35 1802";"NZ U";"081931.80+350244.5";7.21;8.36
"08198-7131";"BSO  17";"AB";1835;2011;26;53;60;60;63.8;"5.31";"5.59";"B9III-IV";"-17";"36";"-18";"34";"-71  677";"N";"081949.00-713054.0";5.31;5.59
"08198-7131";"BSO  17";"AC";1850;2011;19;46;50;101;99.5;"5.31";"7.67";"B9III-IV";"-17";"36";"-27";"30";"-71  679";"N";"081949.00-713054.0";5.31;7.67
"08198-7131";"BSO  17";"BC";1835;2010;20;29;30;34.2;37.5;"5.59";"7.67";"A0IVMn";"-18";"34";"-27";"30";"-71  678";"N";"082000.52-713019.3";5.59;7.67
"08211+6527";"SHY 199";"AB";1991;2003;4;227;227;258.5;258.3;"8.09";"8.52";"G0+G5";"11";"21";"11";"23";"+65  626";"NV";"082103.79+652633.7";8.09;8.52
"08211+4725";"STT 190";"AD";1867;2004;22;279;285;78;78;"8.56";"8.25";"F7V";"-12";"-66";"0";"8";"";"NU";"082107.47+472447.0";8.56;8.25
"08229-5207";"SHY 525";"";1991;2000;4;250;250;999.9;999.9;"5.89";"6.65";"A0V+A0/1V";"-23";"19";"-22";"20";"-51 2980";"NV";"082255.15-520725.4";5.89;6.65
"08247+4200";"S   565";"AB";1824;2004;31;165;176;73;83.9;"6.20";"8.56";"K5III";"11";"10";"-45";"-59";"+42 1859";"NL";"082442.77+420018.8";6.2;8.56
"08248+2009";"STT 191";"";1843;2011;26;191;192;37.6;38.1;"7.41";"8.62";"A5";"-2";"-5";"0";"-8";"+20 2079";"NZ";"082449.18+200910.8";7.41;8.62
"08252-2403";"S   568";"";1800;2010;22;86;90;48;42.7;"5.48";"8.43";"K4/5III";"-29";"20";"-19";"10";"-23 7277";"NU";"082503.74-240246.3";5.48;8.43
"08306-4031";"DUN  71";"";1826;2010;17;48;52;67.2;63.8;"7.01";"7.66";"B8V+K4III";"-8";"5";"5";"-12";"-40 4328";"NY";"083034.41-403042.0";7.01;7.66
"08354+6616";"STF1232";"";1832;2012;21;350;352;31.1;31.1;"8.73";"8.97";"A";"-17";"-34";"-16";"-33";"+66  560";"NZ";"083523.34+661615.1";8.73;8.97
"08362+1347";"STTA 94";"";1875;2013;27;133;133;43.5;43.4;"7.39";"8.11";"A0";"1";"1";"1";"1";"+14 1929";"NZ";"083610.95+134639.2";7.39;8.11
"08379-0648";"HJ   99";"AB";1880;2013;18;211;175;64.6;60.5;"6.82";"8.27";"G0";"-297";"43";"-3";"-1";"-06 2664";"NL U";"083750.29-064824.7";6.82;8.27
"08399+1933";"S   571";"AC";1825;2016;38;157;157;45;45.4;"7.31";"7.47";"Am";"-36";"-12";"-35";"-14";"+19 2153";"NV";"083956.49+193310.7";7.31;7.47
"08399+1933";"S   571";"AD";1825;2015;40;241;242;92.3;92.3;"7.31";"6.67";"Am";"-36";"-12";"-34";"-11";"";"N";"083956.49+193310.7";7.31;6.67
"08399+1933";"BU  584";"DC";1825;2015;37;88;89;98.3;99.5;"6.67";"7.47";"K0III";"-34";"-11";"-35";"-14";"";"N";"083950.72+193226.9";6.67;7.47
"08401+2000";"ENG  37";"AB";1831;2015;34;151;150;150;151.8;"6.47";"6.58";"K0III";"-34";"-13";"-34";"-14";"+20 2158";"NZW";"084006.44+200028.1";6.47;6.58
"08401+2000";"ENG  37";"AD";1887;2013;21;111;111;135;134.9;"6.47";"8.79";"K0III";"-36";"-11";"-36";"-13";"";"N W";"084006.44+200028.1";6.47;8.79
"08404+1940";"STF1254";"AC";1863;2015;40;342;343;63.4;63.4;"6.52";"7.61";"G9III";"-36";"-13";"-38";"-13";"";"N";"084022.11+194011.9";6.52;7.61
"08404-4223";"DUN  72";"A,BC";1826;2011;15;355;1;137;130.2;"6.91";"7.80";"A3V+G0";"-34";"34";"-1";"5";"-41 4371";"N";"084021.13-422321.4";6.91;7.8
"08405+1933";"S   574";"";1825;2015;27;249;250;132.8;134;"6.28";"7.48";"A5m";"-36";"-13";"-38";"-13";"+20 2171";"N";"084027.01+193241.3";6.28;7.48
"08413-7858";"SHY 528";"AC";1991;1999;4;140;140;501.4;501.5;"5.44";"6.11";"B8V+A7V";"-29";"27";"-31";"28";"";"NV";"084119.48-785748.1";5.44;6.11
"08424-5307";"BSO  18";"A,BC";1836;1998;22;310;311;76.6;76.1;"4.79";"5.45";"B3IV+B8s";"-25";"23";"-23";"24";"-52 1607";"NZ";"084225.41-530650.5";4.79;5.45
"08436-3311";"WFC  73";"";1898;2010;9;356;356;108.5;106.5;"3.63";"8.14";"B1.5III";"-14";"11";"-8";"-8";"";"";"084335.54-331111.0";3.63;8.14
"08437-0714";"S   579";"AB";1782;2012;27;310;310;70.2;78.5;"4.72";"8.20";"G1Ib";"-12";"-1";"-13";"-2";"-06 2708";"N";"084340.36-071401.4";4.72;8.2
"08447-5443";"SHY  49";"AF";1991;1999;3;100;99;999.9;999.9;"1.99";"5.75";"A1Va+F6V";"29";"-104";"25";"-92";"";"NV";"084442.23-544231.8";1.99;5.75
"08466-2944";"SKF1307";"";1877;2010;10;190;189;109.7;110.4;"7.47";"7.78";"C5.5+K2II";"-6";"1";"-5";"2";"-29 6735";"V";"084636.33-294341.2";7.47;7.78
"08467+2846";"STF1268";"";1777;2016;123;302;308;31;31.3;"4.13";"5.99";"G7.5IIIa";"-24";"-43";"-22";"-46";"+29 1824";"NV";"084641.82+284535.6";4.13;5.99
"08476+0001";"STU  23";"AC";1892;2011;12;356;351;205.9;219.9;"7.84";"7.82";"G0";"155";"-95";"1";"-2";"+00 2392";"NU";"084736.90+000104.3";7.84;7.82
"08480-3115";"SHY 529";"AC";1991;1999;4;45;45;999.9;999.9;"8.83";"7.92";"G0V+F4V";"-97";"-36";"-96";"-36";"";"NVW";"084759.55-311433.9";8.83;7.92
"08520+2543";"STTA 96";"AB";1875;2011;34;314;313;41.9;49.6;"7.65";"8.45";"K2III";"-4";"-38";"-47";"-1";"+26 1855";"NY";"085200.46+254307.4";7.65;8.45
"08525+2816";"HJ  460";"AC";1895;2011;19;27;20;315.7;276.8;"6.47";"6.04";"M3III";"-17";"-7";"-486";"-234";"";"NL";"085228.60+281533.0";6.47;6.04
"08552-1814";"S   585";"";1894;2012;21;146;151;67.9;64.2;"5.90";"7.24";"K2-3III";"18";"7";"-30";"8";"-17 2691";"NY";"085512.43-181428.3";5.9;7.24
"08553-1122";"S   584";"";1825;2012;20;211;217;71.2;63.9;"6.88";"8.84";"A0";"-19";"-23";"-21";"26";"-10 2692";"NL U";"085517.09-112218.1";6.88;8.84
"08562-5532";"DUN  73";"AB";1826;2000;19;353;0;70;65.7;"7.87";"8.29";"K0";"-16";"7";"5";"9";"-55 1853";"N";"085611.24-553142.0";7.87;8.29
"08568-1726";"SHY 533";"BC";1991;1998;3;152;152;999.9;999.9;"7.40";"8.75";"F2+G3V";"-52";"-28";"-56";"-19";"";"NL";"085649.67-172604.2";7.4;8.75
"08570-5914";"DUN  74";"";1836;2010;25;75;76;40.6;40.1;"4.87";"6.58";"B2IV-V";"-8";"8";"-11";"13";"-58 1301";"N";"085658.42-591345.6";4.87;6.58
"08571-4315";"GLI 102";"AD";1852;1999;11;236;238;45.4;46.3;"7.40";"8.82";"B8";"-6";"8";"-2";"5";"-42 4806";"";"085707.56-431522.3";7.4;8.82
"08572+1519";"SHY 204";"";1991;2010;6;18;18;975.6;975.8;"5.24";"5.70";"A5III+F0";"62";"19";"61";"20";"+15 1945";"NV";"085714.95+151921.9";5.24;5.7
"08594-5905";"SHY 205";"AC";1991;2000;3;47;47;999.9;999.9;"5.21";"8.02";"F4V+K1V";"-175";"281";"";"";"";"NV";"085924.18-590501.4";5.21;8.02
"08595+3225";"SHJ 100";"AB";1782;2013;18;295;294;85.8;90.3;"5.32";"8.97";"G8III";"-44";"-35";"-44";"-35";"+32 1821";"N";"085932.65+322506.8";5.32;8.97
"09032-1740";"S   588";"";1894;2012;17;328;327;32.1;32;"8.61";"8.96";"A0/1V";"4";"-2";"-10";"2";"-17 2727";"N";"090310.05-173938.6";8.61;8.96
"09056+5018";"ES 2631";"";1903;2012;18;258;259;78.7;79.5;"7.84";"8.47";"G5";"4";"0";"-3";"-5";"+50 1607";"N";"090539.04+501741.7";7.84;8.47
"09084+2732";"STTA 97";"";1875;2010;24;237;238;51.3;51.8;"8.30";"8.31";"G0V";"-51";"75";"-53";"73";"+28 1697";"NZ V";"090827.16+273235.3";8.3;8.31
"09139+0252";"H 6 108";"";1991;2001;3;269;269;149.4;149.1;"7.18";"8.57";"K2+K0";"-25";"-17";"6";"-66";"+03 2173";"N";"091354.52+025146.2";7.18;8.57
"09171+0717";"STTA 98";"AB";1873;2004;21;169;172;113.1;107.6;"8.32";"8.03";"F8";"-9";"-68";"-28";"-35";"+07 2101";"N";"091707.79+071630.7";8.32;8.03
"09184-2022";"S   595";"";1825;2010;17;280;286;61.2;74.7;"7.81";"8.99";"Ap";"53";"-43";"-14";"2";"-19 2674";"NL";"091825.03-202216.2";7.81;8.99
"09205-0933";"SHJ 105";"AB";1893;2012;31;211;211;229;229.1;"4.91";"7.03";"G8III+F4V";"-13";"-27";"-15";"-30";"-08 2643";"NV";"092029.03-093320.3";4.91;7.03
"09207+5116";"ARN  71";"AD";1903;2015;16;51;51;231.7;230.4;"6.19";"7.89";"F3V";"-36";"145";"-37";"140";"";"NV U";"092043.76+511557.8";6.19;7.89
"09213+3426";"STT 571";"AB";1823;2008;18;33;42;202.3;222.2;"3.29";"8.83";"K7IIIab";"-222";"17";"-8";"-3";"+35 1979";"N";"092103.46+342333.1";3.29;8.83
"09215-1745";"BVD 145";"";1894;2010;14;317;318;47.1;46.5;"8.16";"8.97";"F5V+F7V";"12";"-76";"13";"-78";"";"VW";"092132.34-174525.6";8.16;8.97
"09223-5428";"SHY 541";"AC";1991;2000;4;209;209;321.7;322;"8.69";"8.16";"G3V+G8IV";"16";"109";"18";"119";"";"NV";"092219.16-542754.7";8.69;8.16
"09257-2920";"CLL   8";"";1912;2010;5;55;55;46;46;"8.86";"8.90";"A9V";"-8";"2";"-8";"2";"";"V";"092541.47-292003.5";8.86;8.9
"09286-4530";"DUN  76";"AC";1826;1999;18;97;99;61.4;60.5;"7.11";"7.56";"B5IV/V";"-9";"-2";"-5";"-3";"-44 5505";"";"092834.19-452951.9";7.11;7.56
"09287+4536";"S   598";"AB";1800;2015;49;161;161;87;69.9;"5.50";"7.80";"K0III-IV";"-7";"-128";"-16";"-45";"+46 1509";"NL";"092839.99+453606.5";5.5;7.8
"09291-0246";"HJ 1167";"";1782;2012;46;359;4;61.7;67.5;"4.64";"7.28";"F6V+K0";"99";"-3";"142";"-17";"-02 2901";"NV";"092908.84-024608.2";4.64;7.28
"09293-4432";"DUN  77";"AB";1837;1999;17;78;77;108.5;108.4;"7.07";"7.03";"F8V+F8V";"-103";"10";"-96";"13";"-43 5326";"NZ V";"092918.68-443220.2";7.07;7.03
"09336-4945";"DUN  79";"";1826;2010;20;31;33;120;140.9;"7.46";"7.62";"K0III";"-1";"-34";"53";"-1";"-49 4502";"N";"093338.69-494528.6";7.46;7.62
"09348-3716";"SWR  76";"";1913;2010;11;190;191;69.6;69.2;"8.49";"8.95";"F3V+F3V";"-45";"21";"-46";"19";"-36 5790";"NVW";"093450.96-371538.3";8.49;8.95
"09349-6500";"SHY 548";"AC";1991;2000;4;68;68;470.7;470.6;"8.06";"6.58";"F5V+F5V";"-34";"45";"-34";"43";"";"NVW";"093456.51-645958.4";8.06;6.58
"09349-6500";"SHY 546";"AD";1991;2000;4;89;89;999.9;999.9;"8.06";"8.92";"F5V+F5V";"-34";"45";"-34";"41";"";"NVW";"093456.51-645958.4";8.06;8.92
"09349-6500";"SHY 550";"AE";1991;2015;4;168;168;999.9;999.9;"8.06";"7.42";"F5V+A9";"-34";"43";"-36";"46";"";"NVW";"093456.51-645958.4";8.06;7.42
"09349-6500";"SHY 550";"AF";1991;2015;2;201;201;999.9;999.9;"8.06";"5.89";"F5V+A0V";"-34";"43";"-34";"48";"";"NVW";"093456.51-645958.4";8.06;5.89
"09349-6500";"SHY 548";"CD";1991;2000;4;98;98;999.9;999.9;"6.58";"8.92";"F5V+F5V";"-34";"43";"-34";"41";"";"NVW";"093605.18-645700.8";6.58;8.92
"09349-6500";"SHY 548";"CE";1991;2000;3;172;172;999.9;999.9;"6.58";"7.42";"F5V+A9IV/V";"-36";"44";"-36";"46";"";"NVW";"093605.18-645700.8";6.58;7.42
"09349-6500";"SHY 543";"CF";1991;2000;3;204;204;999.9;999.9;"6.58";"5.89";"F5V+A0V";"-36";"44";"-34";"48";"";"NVW";"093605.18-645700.8";6.58;5.89
"09354+3958";"STF1369";"AC";1824;2015;39;325;323;118.6;116.6;"6.98";"8.42";"F2V";"-1";"14";"-33";"-20";"+40 2225";"NZ";"093522.50+395747.7";6.98;8.42
"09354+3958";"STF1369";"BC";1893;2005;30;325;324;142.6;141.6;"7.98";"8.42";"G";"-3";"12";"-33";"-20";"";"NZ";"093523.62+395726.2";7.98;8.42
"09376+6013";"SHY 549";"AC";1991;1999;3;262;262;999.9;999.9;"6.51";"8.56";"G5+G0";"-12";"-31";"-16";"-23";"+60 1198";"NV";"093737.51+601249.2";6.51;8.56
"09400+3520";"SHY 212";"";1991;2010;5;228;228;494.5;494.4;"6.95";"7.18";"F5+F5";"-67";"3";"-68";"2";"+35 2034";"NV";"093957.85+352009.4";6.95;7.18
"09427+3506";"TOK 530";"";1980;2010;6;205;205;336.9;336.7;"6.16";"8.31";"F3V";"-21";"-51";"0";"-43";"";"";"094242.74+350536.2";6.16;8.31
"09541+0457";"S   605";"";1798;2016;45;298;287;50.2;53.5;"6.89";"8.40";"gM0+K0";"-27";"14";"-44";"-15";"+05 2248";"N";"095406.70+045643.5";6.89;8.4
"09545-1255";"HJ 4262";"AC";1902;2014;13;129;135;128.6;152.1;"8.69";"6.92";"A0V";"-27";"6";"52";"-236";"-12 3021";"L";"095427.37-125520.3";8.69;6.92
"09570+1946";"STF1399";"";1827;2016;72;175;175;25;30.6;"7.65";"8.36";"G0";"-232";"-7";"-231";"-12";"+20 2399";"NZ V";"095702.21+194544.6";7.65;8.36
"10021-5459";"DUN  83";"";1837;2010;18;223;227;109.5;114;"7.88";"7.89";"K2III+B8V";"49";"-12";"-12";"2";"-54 3043";"N";"100205.73-545853.9";7.88;7.89
"10032-5203";"HJ 4282";"";1903;2010;14;200;194;46.6;49.8;"7.37";"8.31";"A4/5IV/V";"-54";"38";"-17";"1";"-51 4436";"N";"100310.44-520246.6";7.37;8.31
"10049+5529";"STF1402";"AB";1830;2010;45;96;106;20.4;32.7;"7.91";"8.92";"K5";"-5";"-3";"55";"-36";"+56 1428";"L Y";"100454.93+552916.5";7.91;8.92
"10084+1158";"STFB  6";"AB";1779;2015;64;307;308;168.3;175.7;"1.40";"8.24";"B7V";"-249";"6";"-241";"12";"+12 2149";"NV";"100822.31+115801.9";1.4;8.24
"10097+0310";"STF1412";"AC";1875;2011;23;48;52;98.7;90.6;"8.49";"8.72";"K0";"-9";"13";"-26";"-59";"+03 2324";"";"100942.46+030943.6";8.49;8.72
"10134-5054";"HJ 4299";"";1834;2010;11;320;328;50;30.6;"8.31";"8.66";"K4/5";"-16";"14";"-13";"7";"-50 4923";"N";"101321.19-505427.2";8.31;8.66
"10151-6717";"CPO  48";"AB,C";1850;2000;10;212;236;46.6;62.4;"7.67";"8.36";"...+G0V";"25";"21";"-164";"49";"-66 1208";"NL";"101506.24-671708.7";7.67;8.36
"10158-5239";"GLI 132";"";1852;2010;7;153;154;37.9;38.3;"7.81";"7.90";"G8I+G6III";"-21";"13";"-18";"15";"-52 3681";"VW";"101546.62-523837.3";7.81;7.9
"10162+4248";"TOK 669";"";1991;2010;4;131;131;880.9;880.7;"8.43";"8.87";"F8+F8";"-2";"-65";"-5";"-53";"+43 2002";"";"101614.27+424747.6";8.43;8.87
"10166+4117";"SHY 552";"";1991;2010;5;6;6;107.2;107.1;"7.40";"8.78";"F5+F8";"23";"-17";"23";"-18";"+41 2066";"NV";"101638.13+411633.0";7.4;8.78
"10167+2325";"STFA 18";"";1836;2012;38;343;338;314.3;334.8;"3.46";"6.03";"F0III";"20";"-8";"-202";"34";"+24 2209";"NY";"101641.41+232502.4";3.46;6.03
"10170+4719";"TOK 536";"";1980;2010;5;284;284;918.7;919.2;"7.34";"7.80";"F5+G0";"10";"-126";"17";"-107";"";"";"101700.89+471830.4";7.34;7.8
"10200+3333";"HJL1057";"";1894;2010;12;166;167;205.4;205.7;"8.04";"8.78";"F8";"-38";"-64";"-39";"-64";"";"W";"102002.46+333317.3";8.04;8.78
"10217-6920";"RSS  13";"";1892;2010;14;319;328;66;46.7;"8.21";"8.55";"K2III";"-24";"14";"121";"-76";"-68 1124";"NL Y";"102140.76-691959.0";8.21;8.55
"10237+0237";"LAM   7";"AB";1842;2012;18;24;24;82.1;131.6;"7.94";"8.60";"G5";"-107";"-252";"-10";"18";"+03 2356";"NL Y";"102343.45+023709.6";7.94;8.6
"10242+0222";"HJ 2530";"AC";1895;2015;26;64;63;210.1;201.6;"6.42";"6.72";"G9V";"44";"-23";"-42";"-20";"+03 2361";"";"102413.15+022205.1";6.42;6.72
"10244+3411";"STTA104";"";1875;2012;30;286;287;207.2;209.4;"7.21";"7.27";"M4/6III";"6";"-21";"-5";"-14";"+34 2124";"N";"102422.19+341035.0";7.21;7.27
"10289+3453";"SHY 215";"";1991;2000;3;134;134;999.9;999.9;"7.90";"8.70";"G0+G8III";"-113";"-63";"-109";"-59";"+35 2146";"NVW";"102851.39+345308.4";7.9;8.7
"10299+2835";"STTA105";"";1875;2010;24;225;226;130.4;134.2;"7.01";"8.24";"K2III";"5";"-2";"-25";"-12";"+29 2057";"NY";"102953.69+283452.4";7.01;8.24
"10306+5559";"LDS2863";"AB";1905;2016;16;303;303;122.5;122.8;"4.88";"8.86";"F6V";"-177";"-33";"-182";"-31";"+56 1459";"NV";"103037.58+555849.9";4.88;8.86
"10307-5429";"HJ 4327";"";1837;2010;16;172;172;113.7;114.8;"8.10";"8.67";"K3III";"-15";"6";"-4";"0";"-53 3899";"N";"103044.23-542852.8";8.1;8.67
"10307-6121";"DUN  87";"";1826;2010;16;337;330;85.3;82.2;"6.60";"7.55";"M2IIIe";"3";"13";"-11";"2";"-60 1945";"NY";"103039.25-612123.3";6.6;7.55
"10312-4214";"DUN  86";"AB";1838;1999;15;292;292;82.7;83.4;"7.34";"8.04";"Ap";"-14";"-7";"-16";"-11";"-41 5923";"";"103113.32-421345.6";7.34;8.04
"10314-5343";"HJ 4329";"AB";1834;2000;29;10;103;15;73.9;"4.95";"8.58";"F6V";"-419";"209";"-8";"4";"-53 3909";"NL U";"103121.82-534255.7";4.95;8.58
"10329-4700";"HJ 4330";"AB";1835;1999;21;161;163;30;40.4;"5.15";"8.55";"K4III";"-24";"7";"-20";"6";"";"N";"103256.88-470012.1";5.15;8.55
"10331-5947";"GLI 148";"";1852;2010;5;45;47;76.2;76.9;"8.29";"8.80";"B9.5V+A2V";"-19";"10";"-7";"4";"-59 2210";"";"103306.75-594644.0";8.29;8.8
"10339-1750";"S   610";"";1825;2010;16;36;51;100.9;113.6;"8.28";"8.88";"G3V";"-188";"28";"-34";"-21";"-17 3177";"NLWU";"103351.43-174934.7";8.28;8.88
"10393-5536";"DUN  95";"AB";1826;2000;21;105;105;53.3;51.7;"4.38";"6.06";"G2-3Ib";"-19";"5";"-20";"5";"-54 3915";"";"103918.39-553611.7";4.38;6.06
"10432-6110";"DUN  97";"AC";1847;1998;11;17;17;83;83.4;"6.59";"8.14";"B3III";"-15";"4";"-13";"3";"";"N";"104309.44-611006.7";6.59;8.14
"10433+0445";"STF1466";"AC";1897;2003;11;210;210;336.6;333.8;"6.23";"8.10";"K3III";"20";"-33";"6";"3";"";"N";"104320.91+044451.6";6.23;8.1
"10435+4612";"SMA  75";"AB";1874;2012;22;88;88;288.1;288.4;"5.21";"7.35";"F5III";"-270";"-66";"-271";"-64";"+46 1657";"NZ V";"104332.89+461213.9";5.21;7.35
"10443-7052";"DUN  99";"AB";1826;2000;18;74;75;68.7;62.8;"6.26";"6.47";"A5IV-V";"-46";"1";"-48";"0";"-70 1183";"NZ";"104420.10-705135.0";6.26;6.47
"10451-5941";"DUN  98";"AH";1826;2000;15;11;17;60.2;60.6;"6.54";"8.14";"O5.5III";"-11";"4";"-3";"4";"-59 2623";"N";"104503.54-594103.9";6.54;8.14
"10459+3041";"S   612";"AB";1825;2015;27;173;174;200.3;196.2;"5.34";"7.78";"A1Vn";"-24";"-37";"-36";"-10";"+31 2180";"NY";"104551.91+304056.6";5.34;7.78
"10459+3041";"ARN   3";"AC";1898;2012;15;94;94;428.2;424.6;"5.34";"8.31";"A1Vn";"-24";"-37";"-54";"-24";"";"N";"104551.91+304056.6";5.34;8.31
"10476-1516";"STF1474";"AB";1822;2012;38;22;28;71.6;67.8;"6.66";"7.0";"B9IV";"-1";"-11";"";"";"-14 3186";"N";"104737.93-151542.9";6.66;7
"10476-1516";"STF1474";"AC";1858;2012;28;23;28;78.1;73.3;"6.66";"7.59";"B9IV";"-1";"-11";"6";"-58";"-14 3188";"N";"104737.93-151542.9";6.66;7.59
"10476-1538";"STF1473";"AB";1822;2012;31;9;10;31.4;30.4;"7.74";"8.86";"F7II/III";"-113";"-41";"-113";"-45";"-14 3184";"NVW";"104736.55-153736.1";7.74;8.86
"10532-3006";"SHY 563";"";1991;1999;4;177;177;999.9;999.9;"8.03";"8.65";"F8V+G0/1V";"-72";"-37";"-75";"-30";"-29 8686";"NVW";"105314.68-300547.0";8.03;8.65
"10534-0215";"S   617";"";1796;2015;35;180;178;34;35.2;"6.22";"8.71";"G9IV";"-132";"-83";"-129";"-84";"-01 2459";"NV";"105324.96-021518.8";6.22;8.71
"10535-5851";"DUN 102";"AB";1837;2000;11;200;204;163;159.4;"3.88";"6.23";"K1III";"79";"39";"-14";"3";"-58 2834";"N";"105329.57-585111.8";3.88;6.23
"10535-5851";"DUN 103";"AC";1826;2000;9;13;7;57.5;56.4;"3.88";"7.84";"K1III";"79";"38";"16";"-14";"-58 2836";"N";"105329.57-585111.8";3.88;7.84
"10598+5854";"STF1495";"";1782;2016;42;39;36;30.7;34.2;"7.25";"8.84";"K2II-III";"-11";"-13";"-19";"-9";"+59 1338";"N";"105949.47+585423.3";7.25;8.84
"11037+6145";"BU 1077";"AC";1800;1999;13;205;204;384;380.6;"2.02";"7.19";"G9III";"-119";"-67";"-117";"-66";"";"N";"110343.84+614504.0";2.02;7.19
"11045+3814";"HZG   8";"AC";1907;2015;13;83;84;150.3;150.6;"6.04";"7.56";"A3III-IV";"-73";"1";"-69";"1";"+39 2418";"N";"110431.28+381428.9";6.04;7.56
"11053-2718";"TOB 374";"AD";1978;2015;9;87;88;507.7;507.3;"4.96";"5.70";"F3IV";"-190";"-6";"35";"-17";"";"N";"110520.03-271736.9";4.96;5.7
"11113+6601";"S   621";"AB";1825;2012;37;26;55;43.4;101.7;"8.31";"8.34";"G5";"-334";"-124";"7";"-2";"+66  704";"NL Y";"111119.37+660048.4";8.31;8.34
"11113+6601";"S   621";"AC";1825;2012;10;297;314;203.2;168;"8.31";"8.49";"G5";"-334";"-124";"0";"-1";"+66  703";"NL U";"111119.37+660048.4";8.31;8.49
"11113+6601";"S   621";"BC";1825;2012;15;285;285;207;209.5;"8.34";"8.49";"K";"7";"-2";"0";"-1";"+66  705";"N";"111132.15+660148.5";8.34;8.49
"11117-6027";"BSO  19";"A,BC";1895;2000;14;13;13;52;52.6;"7.81";"8.54";"B";"-5";"2";"-5";"3";"-59 3164";"";"111139.09-602636.1";7.81;8.54
"11118+4250";"ENG  45";"AB";1893;2016;23;247;247;135;135;"7.24";"8.30";"F8+G5";"-130";"-239";"-120";"-244";"+43 2089";"NZWV";"111148.95+424955.6";7.24;8.3
"11125+3549";"STTA108";"AB";1800;2015;32;77;68;110.8;164.6;"6.48";"7.32";"G0V+K0";"-249";"-151";"-61";"-7";"+36 2162";"NL U";"111232.35+354850.6";6.48;7.32
"11125+3549";"STTA108";"BD";1825;2002;7;88;89;999.9;999.9;"7.32";"8.21";"K0+G5";"-62";"-8";"-6";"5";"+36 2164";"NU";"111244.27+354948.4";7.32;8.21
"11152+7329";"STF1516";"AB";1790;2015;146;306;104;28.8;67.6;"7.77";"8.23";"K5";"-402";"110";"1";"-2";"+74  456";"NL U";"111511.91+732830.7";7.77;8.23
"11157+4551";"STTA109";"";1877;2012;24;258;256;78.9;83.7;"7.95";"8.69";"K2";"7";"12";"-24";"-12";"+46 1708";"N";"111543.64+455118.4";7.95;8.69
"11165+6913";"SHY 569";"";1991;1999;3;57;57;999.9;999.9;"8.29";"8.35";"G0+F5";"-61";"-35";"-64";"-25";"+70  654";"NV";"111632.86+691304.6";8.29;8.35
"11170-0708";"BU  600";"AC";1823;2014;33;98;99;67.1;53.2;"6.15";"8.22";"A8IVp";"-8";"10";"-70";"7";"-06 3345";"NL";"111658.18-070804.9";6.15;8.22
"11185+3306";"DAM 652";"AD";1860;2015;7;267;267;277.4;286.8;"3.64";"8.88";"K3III+F8";"-26";"27";"-38";"20";"+33 2096";"N";"111828.74+330539.5";3.64;8.88
"11191+3811";"DRS  47";"AD";1991;2002;4;128;128;500.1;499.7;"4.77";"7.25";"A2V";"-59";"-65";"-59";"-65";"";"N";"111907.94+381108.6";4.77;7.25
"11250-3555";"SKF1217";"";1913;2010;6;346;346;50.8;51;"8.14";"8.97";"K0II+K0";"-13";"-7";"-17";"-6";"";"V";"112457.86-355515.5";8.14;8.97
"11256+1627";"SHY 224";"AC";1991;1998;3;207;207;999.9;999.9;"5.62";"7.16";"F2V+F8V";"-142";"-4";"-147";"1";"";"NL";"112536.37+162723.5";5.62;7.16
"11279+0251";"STFA 19";"AB";1780;2016;69;164;182;82.7;88.4;"5.05";"7.47";"G8II-III";"16";"-10";"-90";"17";"+03 2504";"NL";"112756.23+025122.5";5.05;7.47
"11291+3920";"STF1543";"AD";1895;2005;13;252;253;347.3;343.7;"5.36";"7.73";"A2V";"-54";"13";"-23";"13";"";"N";"112904.12+392013.1";5.36;7.73
"11296-2428";"JC   16";"AC";1851;2000;10;115;116;120;169.5;"5.82";"8.86";"F3/5V";"-50";"19";"-36";"16";"-2310010";"N";"112938.65-242750.6";5.82;8.86
"11364-6139";"RSS 267";"";1923;2010;12;315;315;73;72.9;"7.13";"8.96";"B1Iab/Ib";"-7";"1";"-7";"1";"-60 3155";"";"113628.37-613954.5";7.13;8.96
"11370-3858";"DUN 113";"";1826;2010;16;156;149;143;149.5;"6.94";"7.62";"A0/1V+K2";"-23";"-4";"52";"-17";"-38 7230";"N W";"113658.01-385734.3";6.94;7.62
"11387+4507";"STF1561";"AD";1991;2009;4;76;77;704;710.6;"6.53";"7.56";"G0V";"-594";"15";"15";"-6";"";"NU";"113844.90+450630.3";6.53;7.56
"11417-3230";"HJ 4465";"AC";1834;2009;18;45;43;60;67.2;"5.37";"8.34";"K5III";"-6";"-33";"-11";"-30";"-31 9182";"";"114143.95-322957.6";5.37;8.34
"11465-7055";"RSS  15";"";1893;2010;15;298;299;45.8;46.3;"8.74";"8.87";"";"-8";"-9";"-9";"1";"-70 1428";"N";"114627.81-705437.1";8.74;8.87
